ID	Hospedador	Especie
KT372695	bacteria	Myoviridae,Pbunavirus,Pseudomonas virus PB1
KT372696	bacteria	Myoviridae,Pbunavirus,Pseudomonas virus PB1
KT372697	bacteria	Myoviridae,Pbunavirus,Pseudomonas virus PB1
KT372698	bacteria	Myoviridae,Pbunavirus,Pseudomonas virus PB1
KT427407	vertebrates,human	Flaviviridae,Pegivirus,Pegivirus H
KT427408	vertebrates,human	Flaviviridae,Pegivirus,Pegivirus H
KT427409	vertebrates,human	Flaviviridae,Pegivirus,Pegivirus H
KT427410	vertebrates,human	Flaviviridae,Pegivirus,Pegivirus H
KT427411	vertebrates,human	Flaviviridae,Pegivirus,Pegivirus H
KT427412	vertebrates,human	Flaviviridae,Pegivirus,Pegivirus H
